tag,count
2009-01-03 18:21~18:30,3
2009-01-03 18:31~18:40,2
2009-01-03 18:41~18:50,6
2009-01-03 18:51~18:59,2
2009-01-03 19:00~19:10,6
2009-01-03 19:11~19:20,1
2009-01-03 19:21~19:30,1
2009-01-03 19:31~19:40,5
2009-01-03 19:41~19:50,3
2009-01-03 19:51~19:59,3
2009-01-03 20:00~20:10,3
2009-01-03 20:11~20:20,1
2009-01-03 20:21~20:30,3
2009-01-03 20:31~20:40,4
2009-01-03 20:41~20:50,3
2009-01-03 20:51~20:59,2
2009-01-03 21:00~21:10,2
2009-01-03 21:11~21:20,1
2009-01-03 21:21~21:30,1
2009-01-03 21:31~21:40,2
2009-01-03 21:41~21:50,1
2009-01-03 21:51~21:59,1
2009-01-03 22:00~22:10,1
2009-01-03 22:11~22:20,1
2009-01-03 22:31~22:40,2
2009-01-03 22:51~22:59,1
2009-01-03 23:00~23:10,3
2009-01-03 23:21~23:30,2
2009-01-03 23:31~23:40,3
2009-01-03 23:51~23:59,1
2009-01-04 00:00~00:10,3
2009-01-04 00:11~00:20,1
2009-01-04 00:21~00:30,1
2009-01-04 00:41~00:50,1
2009-01-04 00:51~00:59,2
2009-01-04 01:00~01:10,1
2009-01-04 01:11~01:20,2
2009-01-04 01:21~01:30,1
2009-01-04 01:31~01:40,2
2009-01-04 02:00~02:10,1
2009-01-04 02:11~02:20,1
2009-01-04 02:31~02:40,1
2009-01-04 03:00~03:10,1
2009-01-04 05:41~05:50,1
2009-01-04 07:00~07:10,1
2009-01-04 07:51~07:59,2
2009-01-04 08:00~08:10,1
2009-01-04 08:11~08:20,1
2009-01-04 08:21~08:30,1
2009-01-04 08:31~08:40,1
2009-01-04 08:41~08:50,1
2009-01-04 09:11~09:20,1
2009-01-04 09:21~09:30,2
2009-01-04 09:31~09:40,7
2009-01-04 09:41~09:50,7
2009-01-04 09:51~09:59,15
2009-01-04 10:00~10:10,11
2009-01-04 10:11~10:20,19
2009-01-04 10:21~10:30,14
2009-01-04 10:31~10:40,8
2009-01-04 10:41~10:50,16
2009-01-04 10:51~10:59,5
2009-01-04 11:00~11:10,11
2009-01-04 11:11~11:20,13
2009-01-04 11:21~11:30,8
2009-01-04 11:31~11:40,13
2009-01-04 11:41~11:50,12
2009-01-04 11:51~11:59,10
2009-01-04 12:00~12:10,14
2009-01-04 12:11~12:20,8
2009-01-04 12:21~12:30,7
2009-01-04 12:31~12:40,11
2009-01-04 12:41~12:50,9
2009-01-04 12:51~12:59,10
2009-01-04 13:00~13:10,12
2009-01-04 13:11~13:20,11
2009-01-04 13:21~13:30,2
2009-01-04 13:31~13:40,7
2009-01-04 13:41~13:50,9
2009-01-04 13:51~13:59,8
2009-01-04 14:00~14:10,15
2009-01-04 14:11~14:20,11
2009-01-04 14:21~14:30,7
2009-01-04 14:31~14:40,6
2009-01-04 14:41~14:50,4
2009-01-04 14:51~14:59,7
2009-01-04 15:00~15:10,8
2009-01-04 15:11~15:20,8
2009-01-04 15:21~15:30,5
2009-01-04 15:31~15:40,6
2009-01-04 15:41~15:50,5
2009-01-04 16:00~16:10,9
2009-01-04 16:11~16:20,5
2009-01-04 16:21~16:30,3
2009-01-04 16:31~16:40,3
2009-01-04 16:41~16:50,7
2009-01-04 16:51~16:59,5
2009-01-04 17:00~17:10,3
2009-01-04 17:11~17:20,6
2009-01-04 17:21~17:30,3
2009-01-04 17:41~17:50,1
2009-01-04 17:51~17:59,3
2009-01-04 18:00~18:10,1
2009-01-04 18:11~18:20,2
2009-01-04 18:21~18:30,2
2009-01-04 18:31~18:40,1
2009-01-04 18:41~18:50,2
2009-01-04 18:51~18:59,2
2009-01-04 19:00~19:10,2
2009-01-04 19:11~19:20,2
2009-01-04 19:21~19:30,1
2009-01-04 19:51~19:59,3
2009-01-04 20:11~20:20,3
2009-01-04 20:21~20:30,2
2009-01-04 20:31~20:40,1
2009-01-04 20:41~20:50,1
2009-01-04 20:51~20:59,1
2009-01-04 21:00~21:10,4
2009-01-04 21:21~21:30,1
2009-01-04 21:31~21:40,3
2009-01-04 21:51~21:59,3
2009-01-04 22:11~22:20,3
2009-01-04 22:31~22:40,1
2009-01-04 22:41~22:50,2
2009-01-04 22:51~22:59,1
2009-01-04 23:00~23:10,1
2009-01-04 23:11~23:20,1
2009-01-04 23:21~23:30,1
2009-01-05 00:11~00:20,1
2009-01-05 00:31~00:40,1
2009-01-05 01:11~01:20,1
2009-01-05 01:31~01:40,1
2009-01-05 02:00~02:10,1
2009-01-05 02:51~02:59,1
2009-01-05 05:51~05:59,2
2009-01-05 07:00~07:10,1
2009-01-05 07:21~07:30,2
2009-01-05 07:51~07:59,1
2009-01-05 08:00~08:10,3
2009-01-05 08:21~08:30,2
2009-01-05 08:41~08:50,2
2009-01-05 09:00~09:10,2
2009-01-05 09:11~09:20,5
2009-01-05 09:21~09:30,2
2009-01-05 09:31~09:40,2
2009-01-05 09:41~09:50,4
2009-01-05 09:51~09:59,6
2009-01-05 10:00~10:10,7
2009-01-05 10:11~10:20,9
2009-01-05 10:21~10:30,8
2009-01-05 10:31~10:40,7
2009-01-05 10:41~10:50,4
2009-01-05 10:51~10:59,5
2009-01-05 11:00~11:10,1
2009-01-05 11:11~11:20,8
2009-01-05 11:21~11:30,5
2009-01-05 11:31~11:40,5
2009-01-05 11:41~11:50,4
2009-01-05 11:51~11:59,7
2009-01-05 12:00~12:10,9
2009-01-05 12:11~12:20,9
2009-01-05 12:21~12:30,2
2009-01-05 12:31~12:40,2
2009-01-05 12:41~12:50,7
2009-01-05 12:51~12:59,4
2009-01-05 13:00~13:10,11
2009-01-05 13:11~13:20,4
2009-01-05 13:21~13:30,5
2009-01-05 13:31~13:40,8
2009-01-05 13:41~13:50,7
2009-01-05 13:51~13:59,2
2009-01-05 14:00~14:10,5
2009-01-05 14:11~14:20,6
2009-01-05 14:21~14:30,4
2009-01-05 14:31~14:40,4
2009-01-05 14:41~14:50,7
2009-01-05 14:51~14:59,7
2009-01-05 15:00~15:10,2
2009-01-05 15:11~15:20,5
2009-01-05 15:21~15:30,1
2009-01-05 15:31~15:40,5
2009-01-05 15:41~15:50,3
2009-01-05 15:51~15:59,6
2009-01-05 16:00~16:10,3
2009-01-05 16:11~16:20,2
2009-01-05 16:21~16:30,5
2009-01-05 16:31~16:40,7
2009-01-05 16:41~16:50,3
2009-01-05 16:51~16:59,3
2009-01-05 17:21~17:30,3
2009-01-05 17:31~17:40,4
2009-01-05 17:41~17:50,3
2009-01-05 17:51~17:59,1
2009-01-05 18:00~18:10,3
2009-01-05 18:21~18:30,5
2009-01-05 18:41~18:50,4
2009-01-05 18:51~18:59,4
2009-01-05 19:00~19:10,3
2009-01-05 19:11~19:20,2
2009-01-05 19:21~19:30,6
2009-01-05 19:31~19:40,7
2009-01-05 19:41~19:50,3
2009-01-05 19:51~19:59,4
2009-01-05 20:00~20:10,3
2009-01-05 20:21~20:30,1
2009-01-05 20:41~20:50,2
2009-01-05 20:51~20:59,1
2009-01-05 21:00~21:10,3
2009-01-05 21:11~21:20,2
2009-01-05 21:21~21:30,1
2009-01-05 21:31~21:40,3
2009-01-05 21:41~21:50,2
2009-01-05 21:51~21:59,1
2009-01-05 22:00~22:10,2
2009-01-05 22:21~22:30,2
2009-01-05 22:41~22:50,3
2009-01-05 22:51~22:59,1
2009-01-05 23:00~23:10,3
2009-01-05 23:11~23:20,1
2009-01-05 23:21~23:30,1
2009-01-05 23:51~23:59,1
2009-01-06 00:11~00:20,2
2009-01-06 00:21~00:30,2
2009-01-06 06:41~06:50,1
2009-01-06 07:00~07:10,1
2009-01-06 07:31~07:40,1
2009-01-06 07:41~07:50,1
2009-01-06 07:51~07:59,1
2009-01-06 08:00~08:10,2
2009-01-06 08:11~08:20,1
2009-01-06 08:21~08:30,1
2009-01-06 08:31~08:40,1
2009-01-06 08:41~08:50,1
2009-01-06 08:51~08:59,2
2009-01-06 09:00~09:10,1
2009-01-06 09:11~09:20,3
2009-01-06 09:21~09:30,3
2009-01-06 09:31~09:40,7
2009-01-06 09:41~09:50,2
2009-01-06 09:51~09:59,5
2009-01-06 10:00~10:10,8
2009-01-06 10:11~10:20,5
2009-01-06 10:21~10:30,2
2009-01-06 10:31~10:40,2
2009-01-06 10:41~10:50,4
2009-01-06 10:51~10:59,4
2009-01-06 11:00~11:10,2
2009-01-06 11:11~11:20,3
2009-01-06 11:21~11:30,4
2009-01-06 11:31~11:40,2
2009-01-06 11:41~11:50,1
2009-01-06 11:51~11:59,2
2009-01-06 12:00~12:10,9
2009-01-06 12:11~12:20,1
2009-01-06 12:21~12:30,4
2009-01-06 12:31~12:40,5
2009-01-06 12:41~12:50,2
2009-01-06 12:51~12:59,3
2009-01-06 13:00~13:10,4
2009-01-06 13:11~13:20,6
2009-01-06 13:21~13:30,2
2009-01-06 13:31~13:40,4
2009-01-06 13:41~13:50,2
2009-01-06 13:51~13:59,1
2009-01-06 14:00~14:10,7
2009-01-06 14:11~14:20,1
2009-01-06 14:21~14:30,4
2009-01-06 14:31~14:40,2
2009-01-06 14:41~14:50,8
2009-01-06 14:51~14:59,2
2009-01-06 15:00~15:10,11
2009-01-06 15:11~15:20,3
2009-01-06 15:31~15:40,3
2009-01-06 15:41~15:50,2
2009-01-06 15:51~15:59,4
2009-01-06 16:00~16:10,3
2009-01-06 16:11~16:20,4
2009-01-06 16:21~16:30,4
2009-01-06 16:31~16:40,1
2009-01-06 16:41~16:50,1
2009-01-06 16:51~16:59,4
2009-01-06 17:00~17:10,5
2009-01-06 17:11~17:20,4
2009-01-06 17:21~17:30,3
2009-01-06 17:31~17:40,1
2009-01-06 17:41~17:50,2
2009-01-06 17:51~17:59,3
2009-01-06 18:00~18:10,7
2009-01-06 18:11~18:20,1
2009-01-06 18:21~18:30,1
2009-01-06 18:31~18:40,1
2009-01-06 18:41~18:50,4
2009-01-06 18:51~18:59,2
2009-01-06 19:00~19:10,5
2009-01-06 19:11~19:20,2
2009-01-06 19:21~19:30,2
2009-01-06 19:31~19:40,3
2009-01-06 19:41~19:50,2
2009-01-06 19:51~19:59,7
2009-01-06 20:00~20:10,5
2009-01-06 20:11~20:20,1
2009-01-06 20:21~20:30,4
2009-01-06 20:41~20:50,2
2009-01-06 20:51~20:59,1
2009-01-06 21:00~21:10,2
2009-01-06 21:11~21:20,1
2009-01-06 21:41~21:50,1
2009-01-06 21:51~21:59,1
2009-01-06 22:00~22:10,1
2009-01-06 22:11~22:20,3
2009-01-06 22:21~22:30,1
2009-01-06 22:31~22:40,2
2009-01-06 22:51~22:59,1
2009-01-06 23:21~23:30,1
2009-01-06 23:31~23:40,3
2009-01-06 23:51~23:59,2
2009-01-07 00:11~00:20,1
2009-01-07 00:41~00:50,1
2009-01-07 01:11~01:20,1
2009-01-07 01:21~01:30,1
2009-01-07 06:00~06:10,1
2009-01-07 06:51~06:59,1
2009-01-07 07:21~07:30,1
2009-01-07 07:51~07:59,1
2009-01-07 08:00~08:10,1
2009-01-07 08:11~08:20,1
2009-01-07 08:41~08:50,1
2009-01-07 09:00~09:10,1
2009-01-07 09:21~09:30,3
2009-01-07 09:31~09:40,6
2009-01-07 09:41~09:50,4
2009-01-07 09:51~09:59,3
2009-01-07 10:00~10:10,9
2009-01-07 10:11~10:20,3
2009-01-07 10:21~10:30,6
2009-01-07 10:31~10:40,1
2009-01-07 10:41~10:50,4
2009-01-07 10:51~10:59,4
2009-01-07 11:00~11:10,2
2009-01-07 11:11~11:20,4
2009-01-07 11:21~11:30,3
2009-01-07 11:31~11:40,2
2009-01-07 11:41~11:50,3
2009-01-07 11:51~11:59,5
2009-01-07 12:00~12:10,6
2009-01-07 12:11~12:20,3
2009-01-07 12:21~12:30,4
2009-01-07 12:31~12:40,4
2009-01-07 12:41~12:50,7
2009-01-07 13:00~13:10,3
2009-01-07 13:11~13:20,7
2009-01-07 13:21~13:30,3
2009-01-07 13:31~13:40,5
2009-01-07 13:41~13:50,4
2009-01-07 13:51~13:59,3
2009-01-07 14:00~14:10,1
2009-01-07 14:11~14:20,3
2009-01-07 14:21~14:30,2
2009-01-07 14:31~14:40,1
2009-01-07 14:51~14:59,1
2009-01-07 15:21~15:30,1
2009-01-07 15:41~15:50,3
2009-01-07 15:51~15:59,1
2009-01-07 16:00~16:10,4
2009-01-07 16:11~16:20,2
2009-01-07 16:21~16:30,1
2009-01-07 16:31~16:40,5
2009-01-07 16:41~16:50,4
2009-01-07 16:51~16:59,2
2009-01-07 17:00~17:10,1
2009-01-07 17:11~17:20,1
2009-01-07 17:21~17:30,3
2009-01-07 17:31~17:40,3
2009-01-07 17:41~17:50,4
2009-01-07 17:51~17:59,1
2009-01-07 18:00~18:10,2
2009-01-07 18:11~18:20,4
2009-01-07 18:21~18:30,1
2009-01-07 18:31~18:40,5
2009-01-07 18:51~18:59,3
2009-01-07 19:00~19:10,2
2009-01-07 19:11~19:20,2
2009-01-07 19:21~19:30,5
2009-01-07 19:31~19:40,7
2009-01-07 19:41~19:50,2
2009-01-07 19:51~19:59,4
2009-01-07 20:00~20:10,7
2009-01-07 20:11~20:20,1
2009-01-07 20:21~20:30,2
2009-01-07 20:31~20:40,3
2009-01-07 20:41~20:50,2
2009-01-07 20:51~20:59,2
2009-01-07 21:00~21:10,3
2009-01-07 21:21~21:30,1
2009-01-07 21:31~21:40,2
2009-01-07 21:41~21:50,2
2009-01-07 21:51~21:59,1
2009-01-07 22:00~22:10,5
2009-01-07 22:11~22:20,2
2009-01-07 22:21~22:30,2
2009-01-07 22:31~22:40,1
2009-01-07 22:41~22:50,2
2009-01-07 23:00~23:10,4
2009-01-07 23:11~23:20,1
2009-01-07 23:21~23:30,1
2009-01-07 23:31~23:40,1
2009-01-07 23:41~23:50,1
2009-01-07 23:51~23:59,1
2009-01-08 00:00~00:10,1
2009-01-08 00:21~00:30,1
2009-01-08 00:31~00:40,1
2009-01-08 01:11~01:20,1
2009-01-08 07:11~07:20,1
2009-01-08 07:41~07:50,1
2009-01-08 07:51~07:59,1
2009-01-08 08:21~08:30,2
2009-01-08 08:41~08:50,2
2009-01-08 08:51~08:59,1
2009-01-08 09:00~09:10,1
2009-01-08 09:11~09:20,2
2009-01-08 09:21~09:30,4
2009-01-08 09:31~09:40,3
2009-01-08 09:41~09:50,2
2009-01-08 09:51~09:59,1
2009-01-08 10:00~10:10,11
2009-01-08 10:11~10:20,5
2009-01-08 10:21~10:30,8
2009-01-08 10:31~10:40,4
2009-01-08 10:41~10:50,5
2009-01-08 10:51~10:59,3
2009-01-08 11:00~11:10,6
2009-01-08 11:11~11:20,3
2009-01-08 11:21~11:30,5
2009-01-08 11:31~11:40,3
2009-01-08 11:41~11:50,3
2009-01-08 11:51~11:59,8
2009-01-08 12:00~12:10,5
2009-01-08 12:11~12:20,5
2009-01-08 12:21~12:30,4
2009-01-08 12:31~12:40,6
2009-01-08 12:41~12:50,6
2009-01-08 12:51~12:59,4
2009-01-08 13:00~13:10,2
2009-01-08 13:11~13:20,4
2009-01-08 13:21~13:30,6
2009-01-08 13:31~13:40,4
2009-01-08 13:41~13:50,3
2009-01-08 13:51~13:59,2
2009-01-08 14:00~14:10,3
2009-01-08 14:11~14:20,6
2009-01-08 14:21~14:30,4
2009-01-08 14:31~14:40,1
2009-01-08 14:41~14:50,2
2009-01-08 14:51~14:59,4
2009-01-08 15:11~15:20,5
2009-01-08 15:21~15:30,7
2009-01-08 15:31~15:40,4
2009-01-08 15:41~15:50,8
2009-01-08 15:51~15:59,6
2009-01-08 16:00~16:10,8
2009-01-08 16:11~16:20,3
2009-01-08 16:21~16:30,6
2009-01-08 16:31~16:40,3
2009-01-08 16:41~16:50,3
2009-01-08 16:51~16:59,3
2009-01-08 17:00~17:10,1
2009-01-08 17:11~17:20,2
2009-01-08 17:21~17:30,3
2009-01-08 17:31~17:40,4
2009-01-08 17:41~17:50,1
2009-01-08 17:51~17:59,5
2009-01-08 18:00~18:10,2
2009-01-08 18:11~18:20,4
2009-01-08 18:21~18:30,3
2009-01-08 18:31~18:40,7
2009-01-08 18:41~18:50,4
2009-01-08 18:51~18:59,2
2009-01-08 19:00~19:10,5
2009-01-08 19:11~19:20,6
2009-01-08 19:21~19:30,4
2009-01-08 19:31~19:40,5
2009-01-08 19:41~19:50,6
2009-01-08 19:51~19:59,4
2009-01-08 20:00~20:10,5
2009-01-08 20:11~20:20,5
2009-01-08 20:21~20:30,2
2009-01-08 20:31~20:40,2
2009-01-08 20:41~20:50,5
2009-01-08 20:51~20:59,3
2009-01-08 21:00~21:10,2
2009-01-08 21:11~21:20,3
2009-01-08 21:21~21:30,3
2009-01-08 21:31~21:40,3
2009-01-08 21:41~21:50,3
2009-01-08 21:51~21:59,2
2009-01-08 22:00~22:10,1
2009-01-08 22:11~22:20,1
2009-01-08 22:31~22:40,1
2009-01-08 22:41~22:50,1
2009-01-08 22:51~22:59,6
2009-01-08 23:00~23:10,2
2009-01-08 23:11~23:20,2
2009-01-08 23:21~23:30,1
2009-01-08 23:31~23:40,1
2009-01-08 23:41~23:50,2
2009-01-08 23:51~23:59,2
2009-01-09 00:00~00:10,2
2009-01-09 00:11~00:20,2
2009-01-09 00:31~00:40,1
2009-01-09 01:00~01:10,1
2009-01-09 01:31~01:40,1
2009-01-09 07:21~07:30,1
2009-01-09 07:41~07:50,2
2009-01-09 08:31~08:40,1
2009-01-09 08:41~08:50,2
2009-01-09 08:51~08:59,1
2009-01-09 09:00~09:10,2
2009-01-09 09:21~09:30,1
2009-01-09 09:31~09:40,5
2009-01-09 09:51~09:59,6
2009-01-09 10:00~10:10,2
2009-01-09 10:11~10:20,2
2009-01-09 10:21~10:30,2
2009-01-09 10:31~10:40,2
2009-01-09 10:41~10:50,3
2009-01-09 10:51~10:59,5
2009-01-09 11:00~11:10,2
2009-01-09 11:11~11:20,4
2009-01-09 11:21~11:30,3
2009-01-09 11:31~11:40,4
2009-01-09 11:41~11:50,6
2009-01-09 11:51~11:59,1
2009-01-09 12:00~12:10,5
2009-01-09 12:11~12:20,5
2009-01-09 12:21~12:30,4
2009-01-09 12:31~12:40,4
2009-01-09 12:41~12:50,7
2009-01-09 12:51~12:59,6
2009-01-09 13:00~13:10,8
2009-01-09 13:11~13:20,3
2009-01-09 13:21~13:30,1
2009-01-09 13:31~13:40,6
2009-01-09 13:41~13:50,5
2009-01-09 13:51~13:59,3
2009-01-09 14:00~14:10,2
2009-01-09 14:11~14:20,2
2009-01-09 14:21~14:30,3
2009-01-09 14:31~14:40,7
2009-01-09 14:41~14:50,8
2009-01-09 14:51~14:59,2
2009-01-09 15:00~15:10,5
2009-01-09 15:11~15:20,5
2009-01-09 15:21~15:30,3
2009-01-09 15:31~15:40,6
2009-01-09 15:41~15:50,3
2009-01-09 15:51~15:59,5
2009-01-09 16:00~16:10,6
2009-01-09 16:11~16:20,2
2009-01-09 16:21~16:30,2
2009-01-09 16:31~16:40,1
2009-01-09 16:41~16:50,2
2009-01-09 16:51~16:59,2
2009-01-09 17:00~17:10,1
2009-01-09 17:11~17:20,5
2009-01-09 17:21~17:30,5
2009-01-09 17:31~17:40,1
2009-01-09 17:41~17:50,1
2009-01-09 17:51~17:59,1
2009-01-09 18:00~18:10,7
2009-01-09 18:11~18:20,1
2009-01-09 18:21~18:30,4
2009-01-09 18:31~18:40,4
